지수종류별,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08
제조업,5160.22,4893.83,4345.98,4741.91,4916.36,5195.26,5601.59,5753.98
음식료품,3295.05,3178.68,3050.78,3580.69,3829.5,3991.31,4151.47,4206.7
섬유의복,259.04,232.81,197.62,234.95,244.44,232.35,222.92,251.55
종이목재,352.95,320.97,270.8,321.52,315.86,295.91,304.87,312.71
화학,4267.39,4037.85,3504.5,4146.89,4228.92,4450.35,4806.56,5511.23
의약품,10902.3,10565.78,12262.83,12996.52,13662.77,17125.94,17331.91,18913.09
비금속광물,1408.72,1340.51,1138.72,1368.26,1438.23,1559.16,1653.77,1784.88
철강금속,3395.63,3147.69,2618.24,3011.6,3049.62,2872.64,3247.79,3150.69
기계,649.76,608.82,485.03,563.26,607.97,620.66,721.31,828.57
전기전자,20403.97,19573.08,17214.87,18179.44,18657.3,19455.28,21062.73,20007.16
의료정밀,2201.92,1916.99,1690.48,1926.34,2186.3,2210.42,2405.32,2150.94
운수장비,1470.53,1330.18,1014.14,1106.15,1214.04,1201.3,1377.02,1576.16
유통업,350.09,324.4,277.83,336.21,331.1,331.13,324.85,328.53
전기가스업,794.12,678.05,598.15,736.85,693.39,625.89,616.31,648.67
건설업,86.48,78.51,67.87,84,86.23,80.95,85.79,85.82
운수창고업,1250.76,1226.31,1097.06,1263.23,1335.23,1275.22,1322.88,1355.57
통신업,329.3,310.52,257.67,310.3,314.12,302.92,308.17,334.42
금융업,372.14,334.07,282.08,315.05,322.52,325.06,327.8,344.88
은행,224.73,198.91,156.58,165.83,173.58,169.21,169.9,169.38
증권,1596.21,1467.8,1290.31,1419.5,1442.46,1420.91,1564.57,1689.57
보험,12249.88,11085.54,8740.77,10438.3,9876.75,9503.05,9806.15,10929.66
서비스업,1202.74,1129.52,1050.36,1176.98,1353.58,1414.2,1584.23,1672.83
